Skill,Name,Proficiency
Programming languages,R,10
Programming languages,R Markdown/Markdown,9
Programming languages,Git/GitHub,8
Programming languages,HTML/CSS,7
Programming languages,MySQL,5
Programming languages,UNIX shell scripting,4
Programming languages,Python,3
Data & Analaysis,Generalized linear models,9
Data & Analaysis,Unsupervised learning,8
Data & Analaysis,Social network analysis,8
Data & Analaysis,Survey data,8
Data & Analaysis,Survival analysis,8
Data & Analaysis,Web scraping,7
Data & Analaysis,Natural language processing,6
Data & Analaysis,Geospatial data,5
Knowledge & Interests,"Evolution, genetics, genomics",8
Knowledge & Interests,Epidemiology and infectious disease,8
Knowledge & Interests,Ecology and conservation,8
Knowledge & Interests,Global/public health,7
Knowledge & Interests,Human biology,6
Knowledge & Interests,Cultural anthropology,5
Knowledge & Interests,World history & politics,5
